LLM,Human,Category,Cohens_Kappa
codellama_13b_r1,A,BFC,0.41150828247602445
codellama_13b_r1,A,BPC,-0.05829285218598179
codellama_13b_r1,A,PRC,0.22427336999214453
codellama_13b_r1,A,NFC,0.06957928802588997
codellama_13b_r1,B,BFC,0.5285714285714286
codellama_13b_r1,B,BPC,0.0639625585023399
codellama_13b_r1,B,PRC,0.2990654205607477
codellama_13b_r1,B,NFC,0.05873493975903621
codellama_13b_r1,C,BFC,0.4303797468354429
codellama_13b_r1,C,BPC,-0.15074798619102414
codellama_13b_r1,C,PRC,0.3090696769170884
codellama_13b_r1,C,NFC,0.11699779249448106
deepseek-r1_14b_r1,A,BFC,0.5258620689655172
deepseek-r1_14b_r1,A,BPC,0.23490488006617039
deepseek-r1_14b_r1,A,PRC,0.653088630259624
deepseek-r1_14b_r1,A,NFC,0.7714808043875686
deepseek-r1_14b_r1,B,BFC,0.592074592074592
deepseek-r1_14b_r1,B,BPC,0.17081260364842465
deepseek-r1_14b_r1,B,PRC,0.385593220338983
deepseek-r1_14b_r1,B,NFC,0.6460176991150441
deepseek-r1_14b_r1,C,BFC,0.5416666666666667
deepseek-r1_14b_r1,C,BPC,0.26470588235294124
deepseek-r1_14b_r1,C,PRC,0.494840928632846
deepseek-r1_14b_r1,C,NFC,0.7346698113207547
gemma3_12b_r1,A,BFC,0.8079385403329065
gemma3_12b_r1,A,BPC,0.04237978810105947
gemma3_12b_r1,A,PRC,0.5404814004376368
gemma3_12b_r1,A,NFC,0.6733449477351916
gemma3_12b_r1,B,BFC,0.6996567505720824
gemma3_12b_r1,B,BPC,0.03581267217630846
gemma3_12b_r1,B,PRC,0.36905254447662394
gemma3_12b_r1,B,NFC,0.6315192743764173
gemma3_12b_r1,C,BFC,0.71875
gemma3_12b_r1,C,BPC,0.05063291139240511
gemma3_12b_r1,C,PRC,0.43419949706621963
gemma3_12b_r1,C,NFC,0.7681281618887015
gpt-oss_20b_r1,A,BFC,0.6102449888641426
gpt-oss_20b_r1,A,BPC,0.1690544412607451
gpt-oss_20b_r1,A,PRC,0.7020139745170572
gpt-oss_20b_r1,A,NFC,0.5714285714285714
gpt-oss_20b_r1,B,BFC,0.6396705559368565
gpt-oss_20b_r1,B,BPC,0.19548511047070127
gpt-oss_20b_r1,B,PRC,0.5951417004048583
gpt-oss_20b_r1,B,NFC,0.6774193548387097
gpt-oss_20b_r1,C,BFC,0.6739130434782609
gpt-oss_20b_r1,C,BPC,0.19969512195121952
gpt-oss_20b_r1,C,PRC,0.6647704185290533
gpt-oss_20b_r1,C,NFC,0.6965452847805789
llama3.1_8b_r1,A,BFC,0.7002398081534772
llama3.1_8b_r1,A,BPC,-0.12419700214132767
llama3.1_8b_r1,A,PRC,0.24913835548990637
llama3.1_8b_r1,A,NFC,0.7787610619469026
llama3.1_8b_r1,B,BFC,0.6922519913106444
llama3.1_8b_r1,B,BPC,0.10423452768729635
llama3.1_8b_r1,B,PRC,0.15854738706820193
llama3.1_8b_r1,B,NFC,0.6300211416490487
llama3.1_8b_r1,C,BFC,0.6511627906976745
llama3.1_8b_r1,C,BPC,0.05002405002404997
llama3.1_8b_r1,C,PRC,0.16932180245789707
llama3.1_8b_r1,C,NFC,0.7357293868921775
mistral_7b_r1,A,BFC,0.4519392917369309
mistral_7b_r1,A,BPC,0.00943396226415083
mistral_7b_r1,A,PRC,0.28126497364638225
mistral_7b_r1,A,NFC,0.5586158192090396
mistral_7b_r1,B,BFC,0.4772727272727273
mistral_7b_r1,B,BPC,0.05284147557328023
mistral_7b_r1,B,PRC,0.18371789290378748
mistral_7b_r1,B,NFC,0.45958646616541354
mistral_7b_r1,C,BFC,0.40944881889763773
mistral_7b_r1,C,BPC,0.059645351961311044
mistral_7b_r1,C,PRC,0.2640499553969671
mistral_7b_r1,C,NFC,0.5683701657458564
qwen3-coder_30b_r1,A,BFC,0.7611464968152866
qwen3-coder_30b_r1,A,BPC,0.1322008862629247
qwen3-coder_30b_r1,A,PRC,0.4883720930232558
qwen3-coder_30b_r1,A,NFC,0.7029702970297029
qwen3-coder_30b_r1,B,BFC,0.6888726207906295
qwen3-coder_30b_r1,B,BPC,0.09766454352441611
qwen3-coder_30b_r1,B,PRC,0.34238896075894787
qwen3-coder_30b_r1,B,NFC,0.7250229147571036
qwen3-coder_30b_r1,C,BFC,0.6899224806201552
qwen3-coder_30b_r1,C,BPC,0.16617033948779036
qwen3-coder_30b_r1,C,PRC,0.4285714285714285
qwen3-coder_30b_r1,C,NFC,0.7625830959164293
codellama_13b_r2,A,BFC,0.3680485338725986
codellama_13b_r2,A,BPC,0.11504424778761058
codellama_13b_r2,A,PRC,0.19161676646706594
codellama_13b_r2,A,NFC,0.2692307692307693
codellama_13b_r2,B,BFC,0.41307106598984766
codellama_13b_r2,B,BPC,0.16193914388860242
codellama_13b_r2,B,PRC,0.19481539670070702
codellama_13b_r2,B,NFC,0.23285198555956677
codellama_13b_r2,C,BFC,0.25120772946859904
codellama_13b_r2,C,BPC,0.07512805919180421
codellama_13b_r2,C,PRC,0.2623918174665617
codellama_13b_r2,C,NFC,0.24528301886792458
deepseek-r1_14b_r2,A,BFC,0.6422893481717011
deepseek-r1_14b_r2,A,BPC,0.3236472945891784
deepseek-r1_14b_r2,A,PRC,0.5712996389891697
deepseek-r1_14b_r2,A,NFC,0.758745476477684
deepseek-r1_14b_r2,B,BFC,0.6532846715328466
deepseek-r1_14b_r2,B,BPC,0.17647058823529416
deepseek-r1_14b_r2,B,PRC,0.4106300900128589
deepseek-r1_14b_r2,B,NFC,0.6757075471698113
deepseek-r1_14b_r2,C,BFC,0.6124031007751938
deepseek-r1_14b_r2,C,BPC,0.31899641577060933
deepseek-r1_14b_r2,C,PRC,0.4345367551109177
deepseek-r1_14b_r2,C,NFC,0.7346698113207547
deepseek-r1_70b_r2,A,BFC,0.68671679197995
deepseek-r1_70b_r2,A,BPC,0.1458206223306895
deepseek-r1_70b_r2,A,PRC,0.43541102077687444
deepseek-r1_70b_r2,A,NFC,0.8106060606060606
deepseek-r1_70b_r2,B,BFC,0.5952906548933039
