LLM,Category,Krippendorff_Alpha
inter-human-it1,BFC,0.842359954598873
inter-human-it1,BPC,0.44816172022998446
inter-human-it1,PRC,0.7230929923893172
inter-human-it1,NFC,0.7981331024989619
deepseek-r1_14b,BFC,0.7496604302916168
deepseek-r1_14b,BPC,0.35581575709137436
deepseek-r1_14b,PRC,0.6504817801863824
deepseek-r1_14b,NFC,0.7479644115545181
mistral_7b,BFC,0.6732798319544807
mistral_7b,BPC,0.24193132843099718
mistral_7b,PRC,0.5474861569296745
mistral_7b,NFC,0.6888613895905811
gemma3_12b,BFC,0.8019645169556442
gemma3_12b,BPC,0.2335093499494666
gemma3_12b,PRC,0.5852325596551657
gemma3_12b,NFC,0.7821111529186073
qwen3-coder_30b,BFC,0.8022747499315869
qwen3-coder_30b,BPC,0.2868532756704901
qwen3-coder_30b,PRC,0.6518400844725096
qwen3-coder_30b,NFC,0.777283098040056
gpt-oss_20b,BFC,0.7456060406282043
gpt-oss_20b,BPC,0.3141457944873599
gpt-oss_20b,PRC,0.7069016457190472
gpt-oss_20b,NFC,0.7264681136850186
codellama_13b,BFC,0.6664026670195453
codellama_13b,BPC,0.14429269736832662
codellama_13b,PRC,0.48968580714115095
codellama_13b,NFC,0.5372725477891662
llama3.1_8b,BFC,0.7719635167533926
llama3.1_8b,BPC,0.18099025874809715
llama3.1_8b,PRC,0.523986274620012
llama3.1_8b,NFC,0.7579469125020806
