hash,annotator,understand,purpose,bfc,bpc,prc,nfc,specification,asc,obvious,safety,timing,memory,info,safety_exp,time,see_commit_clicked,lore_clicked,lore_founded,is_merge_commit,is_part_patchset,lore_found
0b94f2651f,ollama_qwen3-coder_30b,3,"This commit fixes a potential use-after-free bug in Bluetooth HCI command queuing. It ensures hci_cmd_sync_queue returns an error when HCI_UNREGISTER is set, preventing commands from being queued after device unregistration.",4,0,0,0,,,,,,,,,12.124,,,,,,
0c7833b9e8,ollama_qwen3-coder_30b,4,"The commit removes an unnecessary include of asm/termios.h in n_hdlc.c. It clarifies that linux/tty.h already pulls in linux/termios.h, making the explicit include redundant and potentially confusing.",0,0,4,0,,,,,,,,,23.265,,,,,,
12aeaaba08,ollama_qwen3-coder_30b,3,"This commit updates documentation for the 'N/A' store metric in perf c2c. It reflects changes in the report table after adding the 'N/A' metric for store operations, ensuring documentation aligns with code changes.",0,0,3,0,,,,,,,,,22.724,,,,,,
131a79b474,ollama_qwen3-coder_30b,4,"This commit fixes a race condition in hugetlb vma lock handling during vma splitting and range unmapping. It addresses issues where vma lock pointers were incorrectly copied during splitting, causing potential double-free errors, and ensures proper lock management for all VM_MAYSHARE vmas.",4,0,0,0,,,,,,,,,23.795,,,,,,
1634602627,ollama_qwen3-coder_30b,3,"This commit adds device tree binding documentation for AVDD and MICVDD supplies used by the rt5682s codec. It ensures these power supplies are properly documented in the device tree bindings, aligning with existing usage in sc7180-trogdor-kingoftown.dtsi.",0,0,3,0,,,,,,,,,22.619,,,,,,
16ed828b87,ollama_qwen3-coder_30b,4,This commit fixes a resource leak in the zorro7xx SCSI driver. It adds a missing iounmap() call in the remove function to properly release memory mapping resources that were allocated during probe but not freed during removal.,4,0,0,0,,,,,,,,,23.734,,,,,,
1f74399fd1,ollama_qwen3-coder_30b,3,"Removes an unused work field from struct mlx5e_async_ctx in the Mellanox 5 network driver. The change is a cleanup of dead code, improving code clarity and reducing memory footprint.",0,0,4,0,,,,,,,,,22.465,,,,,,
23cc6d8c37,ollama_qwen3-coder_30b,3,The commit changes the type of 'key_idx' in 'cfg80211_auth_request' from unsigned to signed. This prevents static analyzer warnings when -1 is assigned to indicate unused keys.,0,3,4,0,,,,,,,,,22.83,,,,,,
2fadc6ea4a,ollama_qwen3-coder_30b,3,"This commit sorts the CONFIG_SURFACE_PLATFORMS configuration option in RISC-V defconfigs. The change aligns the order with savedefconfig's output, ensuring consistency. No functional changes are expected.",0,0,3,0,,,,,,,,,23.614,,,,,,
3044a4f271,ollama_qwen3-coder_30b,3,"The commit introduces a new helper function mcp251xfd_is_fd_mode() to check if the chip is in CAN-FD mode, replacing an inline check. It's a code refactoring improving maintainability.",0,0,4,0,,,,,,,,,22.227,,,,,,
35eee9a363,ollama_qwen3-coder_30b,3,"The commit modifies RTC selftests to skip execution when no RTC device is present, preventing test failures in such environments.",0,3,1,0,,,,,,,,,23.522,,,,,,
3cffb26fbb,ollama_qwen3-coder_30b,4,"The commit removes a redundant variable assignment in the ALSA echoaudio driver. The variable 'bytes' is assigned but never read, then reassigned in a subsequent if block. This cleanup eliminates a clang scan build warning.",0,0,4,0,,,,,,,,,23.081,,,,,,
4df002d908,ollama_qwen3-coder_30b,3,"This commit allows the rcuscale feature to be built without requiring RCU Tasks. It decouples rcuscale from RCU Tasks, reducing kernel size and simplifying tracing operations in CONFIG_PREEMPT_NONE=y kernels.",0,3,2,0,,,,,,,,,23.443,,,,,,
562f5bc48a,ollama_qwen3-coder_30b,4,"The commit removes a duplicated 'be split' string in the spte.h file, correcting a typo that could affect code clarity and maintainability.",0,0,3,0,,,,,,,,,22.137,,,,,,
5b45b1c8b8,ollama_qwen3-coder_30b,3,"This commit reverts a change that populated a DCN315 clock table based on DCFCLK. The revert prevents a no-read situation caused by how the PMFW fills the table when DCFCLK states are disabled, avoiding potential underflow.",3,0,0,0,,,,,,,,,22.699,,,,,,
5dc6ce767d,ollama_qwen3-coder_30b,3,"This commit adds device tree binding documentation for the Renesas RZ/V2L SoC's Mali-G31 GPU, including a new compatible string to enable GPU support in the kernel.",0,0,2,4,,,,,,,,,22.86,,,,,,
60b3c27fb9,ollama_qwen3-coder_30b,4,The commit renames the struct pcie_port to dw_pcie_rp for consistency with naming conventions in the DW PCIe driver. It updates all references to the struct to maintain functionality while improving code clarity.,0,0,4,0,,,,,,,,,23.754,,,,,,
647df0d41b,ollama_qwen3-coder_30b,4,Fixes a Clang compiler warning by correcting the format specifier for an unsigned short argument in a netdev_dbg call. Changes %hx to %x to match promoted argument type.,0,0,3,0,,,,,,,,,22.686,,,,,,
64ac0befe7,ollama_qwen3-coder_30b,3,"The commit fixes a branch range check issue in MIPS jump_label implementation by casting the upper bound to long for signed comparison, preventing a warning triggered by negative offsets.",3,0,0,0,,,,,,,,,23.541,,,,,,
67fda6c2df,ollama_qwen3-coder_30b,3,"This commit removes a specific case statement HW_VAR_H2C_FW_P2P_PS_OFFLOAD from the SetHwReg8188EU() function. It simplifies the function by calling the underlying function directly, eliminating unnecessary code. This is part of a larger effort to reduce the HAL layer.",0,0,4,0,,,,,,,,,22.942,,,,,,
710c8d6c02,ollama_qwen3-coder_30b,3,"The commit declares non-global symbols as static in arm64 architecture code to fix sparse warnings. It addresses a specific issue where a symbol was not declared as static, causing a warning during kernel compilation.",3,0,0,0,,,,,,,,,9.621,,,,,,
719ca37972,ollama_qwen3-coder_30b,3,"This commit corrects incorrect interrupt flag specifications in MDSS display driver bindings. It removes bogus interrupt flags cells from consumer nodes, as the MDSS interrupt provider uses a single cell.",2,1,3,0,,,,,,,,,22.419,,,,,,
7392d87a9f,ollama_qwen3-coder_30b,3,The commit allocates space for arrays in the struct ctrl_ref to prepare for allowing drivers to change array sizes. It modifies memory allocation for control references in V4L2 subsystem.,0,2,3,0,,,,,,,,,14.354,,,,,,
76ee15ae1b,ollama_qwen3-coder_30b,3,"Adds support for additional PMICs and SoCs (SM8350, SC8280XP, SA8540P, SM8450) to the qcom socinfo driver. This expands hardware compatibility by including new device identifiers in the SoC information table.",0,0,0,4,,,,,,,,,23.617,,,,,,
7b0ac469e3,ollama_qwen3-coder_30b,3,"The commit updates the RTL8xxxu WiFi driver to recognize all possible chip cuts (letters A to P) instead of only up to E, preventing 'unknown' output for newer chip versions.",0,3,1,0,,,,,,,,,22.25,,,,,,
801179b670,ollama_qwen3-coder_30b,3,"This commit removes the custom software enable count for PRCMU clocks in the ux500 clock driver. It leverages the core's existing software enable count, simplifying the clock management logic.",0,2,4,0,,,,,,,,,23.107,,,,,,
